FilePath,FolderTarget,SoVanBan,NamBanHanh,LoaiVanBan,DonViSoanThao,NguoiKy,NgayBanHanh,NgayHetHieuLuc,TrangThai,MucDoBaoMat,TrichYeu,VanBanThayThe,VanBanLienQuan,Tags
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24.12.2025.docx,[00] Văn Bản Điều Hành Chung,01,2024,Chính sách,Văn bản điều hành chung (cấp Công ty),,2025-12-24,,Đang lưu hành,Nội bộ,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24.12.2025,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24.12.2025.pdf,[00] Văn Bản Điều Hành Chung,01,2024,Chính sách,Văn bản điều hành chung (cấp Công ty),,2025-12-24,,Đang lưu hành,Nội bộ,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24.12.2025,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24.12.2025.pptx,[00] Văn Bản Điều Hành Chung,01,2024,Chính sách,Văn bản điều hành chung (cấp Công ty),,2025-12-24,,Đang lưu hành,Nội bộ,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24.12.2025,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/02.2024.CS-HĐQT-Chiến lược hoạt động.24.12.2024.docx,[00] Văn Bản Điều Hành Chung,02,2024,Chính sách,Văn bản điều hành chung (cấp Công ty),,2024-12-24,,Đang lưu hành,Nội bộ,02.2024.CS-HĐQT-Chiến lược hoạt động.24.12.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/02.2024.CS-HĐQT-Chiến lược hoạt động.24.12.2024.pdf,[00] Văn Bản Điều Hành Chung,02,2024,Chính sách,Văn bản điều hành chung (cấp Công ty),,2024-12-24,,Đang lưu hành,Nội bộ,02.2024.CS-HĐQT-Chiến lược hoạt động.24.12.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/02.2024.CS-HĐQT-Chiến lược hoạt động.24.12.2024.pptx,[00] Văn Bản Điều Hành Chung,02,2024,Chính sách,Văn bản điều hành chung (cấp Công ty),,2024-12-24,,Đang lưu hành,Nội bộ,02.2024.CS-HĐQT-Chiến lược hoạt động.24.12.2024,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/122.QĐ-HCNS-Quy chế công nghệ thông tin.10.03.2025.docx,[00] Văn Bản Điều Hành Chung,122,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-03-10,,Đang lưu hành,Nội bộ,Quy chế công nghệ thông tin,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/122.QĐ-HCNS-Quy chế công nghệ thông tin.10.03.2025.pdf,[00] Văn Bản Điều Hành Chung,122,2025,Quyết định,Văn bản điều hành chung (cấp Công ty),,2025-03-10,,Đang lưu hành,Nội bộ,Quy chế công nghệ thông tin,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/124.2026-TB-HCNS-Lịch nghỉ Tết Nguyên đán 2026 và chế độ làm Tết.23.01.2026.docx,[00] Văn Bản Điều Hành Chung,124,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-23,,Đang lưu hành,Nội bộ,Lịch nghỉ Tết Nguyên đán 2026 và chế độ làm Tết,,,
data/00. Văn bản Điều hành/[00] Văn Bản Điều Hành Chung/124.2026-TB-HCNS-Lịch nghỉ Tết Nguyên đán 2026 và chế độ làm Tết.23.01.2026.pdf,[00] Văn Bản Điều Hành Chung,124,2026,Thông báo,Văn bản điều hành chung (cấp Công ty),,2026-01-23,,Đang lưu hành,Nội bộ,Lịch nghỉ Tết Nguyên đán 2026 và chế độ làm Tết,,,
