FilePath,FolderTarget,OriginalFileName,UploadFileName,SoVanBan,NamBanHanh,NgayBanHanh,NgayHetHieuLuc,NguoiKy,TrangThai,MucDoBaoMat,TrichYeu,VanBanThayThe,VanBanLienQuan,Tags,NhomTaiLieu,LoaiVanBanPhapLy,LoaiTaiLieu,ChuDeNghiepVu,DonViPhatHanh,DonViSoHuu,NguonMetadata,MetadataConfidence,HasEditableSource,EditableSourceUrl,PrimaryPdfUrl,NeedReview,DuplicateRole,ResolveNote
data/01.2026.HD-HCNS-Huong dan luu tru van ban tren Sharepoint-Lan-04.01-07-2026.docx,,01.2026.HD-HCNS-Huong dan luu tru van ban tren Sharepoint-Lan-04.01-07-2026.docx,01.2026.HD-HCNS-Huong dan luu tru van ban tren Sharepoint-Lan-04.01-07-2026.docx,01,2026,2026-07-01,,,Hiệu lực,,Huong dan luu tru van ban tren Sharepoint-Lan-04,,,,NeedsReview,Khác,,Huong dan luu tru van ban tren Sharepoint-Lan-04,HCNS,,ParsedFromFilename,NeedsReview,,,,,,"ROOT/chưa phân loại — upload vào thư viện gốc, cần phân loại sau"
data/01.2026.HD-HCNS-Huong dan luu tru van ban tren Sharepoint-Lan-04.01-07-2026.md,,01.2026.HD-HCNS-Huong dan luu tru van ban tren Sharepoint-Lan-04.01-07-2026.md,01.2026.HD-HCNS-Huong dan luu tru van ban tren Sharepoint-Lan-04.01-07-2026.md,01,2026,2026-07-01,,,Hiệu lực,,Huong dan luu tru van ban tren Sharepoint-Lan-04,,,,NeedsReview,Khác,,Huong dan luu tru van ban tren Sharepoint-Lan-04,HCNS,,ParsedFromFilename,NeedsReview,,,,,,"ROOT/chưa phân loại — upload vào thư viện gốc, cần phân loại sau"
data/Danh mục văn bản_Final.xlsx,,Danh mục văn bản_Final.xlsx,Danh mục văn bản_Final.xlsx,,,,,,Hiệu lực,,Danh mục văn bản_Final,,,,NeedsReview,Khác,,Danh mục văn bản_Final,,,ParsedFromFilename,NeedsReview,,,,,,"ROOT/chưa phân loại — upload vào thư viện gốc, cần phân loại sau"
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.docx,[00] Văn Bản Điều Hành Chung,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.docx,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.docx,01,2024,2025-12-24,,,Hiệu lực,,Sứ mệnh tầm nhìn giá trị cốt lõi,,,,Chính sách – Định hướng,Khác,,Sứ mệnh tầm nhìn giá trị cốt lõi,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.pdf,[00] Văn Bản Điều Hành Chung,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.pdf,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.pdf,01,2024,2025-12-24,,,Hiệu lực,,Sứ mệnh tầm nhìn giá trị cốt lõi,,,,Chính sách – Định hướng,Khác,,Sứ mệnh tầm nhìn giá trị cốt lõi,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.pptx,[00] Văn Bản Điều Hành Chung,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.pptx,01.2024.CS-HĐQT-Sứ mệnh tầm nhìn giá trị cốt lõi.24-12-2025.pptx,01,2024,2025-12-24,,,Hiệu lực,,Sứ mệnh tầm nhìn giá trị cốt lõi,,,,Chính sách – Định hướng,Khác,,Sứ mệnh tầm nhìn giá trị cốt lõi,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.docx,[00] Văn Bản Điều Hành Chung,02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.docx,02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.docx,02,2024,2024-12-24,,,Hiệu lực,,Chiến lược hoạt động,,,,Chính sách – Định hướng,Khác,Chiến lược,hoạt động,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.pdf,[00] Văn Bản Điều Hành Chung,02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.pdf,02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.pdf,02,2024,2024-12-24,,,Hiệu lực,,Chiến lược hoạt động,,,,Chính sách – Định hướng,Khác,Chiến lược,hoạt động,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.pptx,[00] Văn Bản Điều Hành Chung,02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.pptx,02.2024.CL-HĐQT-Chiến lược hoạt động.24-12-2024.pptx,02,2024,2024-12-24,,,Hiệu lực,,Chiến lược hoạt động,,,,Chính sách – Định hướng,Khác,Chiến lược,hoạt động,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/100.2025.NQ-HĐQT-ĐH đồng cổ đông thường niên 2025-Đông mai.10-04-2025.pdf,[00] Văn Bản Điều Hành Chung,100.2025.NQ-HĐQT-ĐH đồng cổ đông thường niên 2025-Đông mai.10-04-2025.pdf,100.2025.NQ-HĐQT-ĐH đồng cổ đông thường niên 2025-Đông mai.10-04-2025.pdf,100,2025,2025-04-10,,,Hiệu lực,,ĐH đồng cổ đông thường niên 2025-Đông mai,,,,Chính sách – Định hướng,Nghị quyết,,ĐH đồng cổ đông thường niên 2025-Đông mai,HĐQT,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/148.2025.QĐ-HCNS-Quy tắc ứng xử. 19-03-2025.pdf,[00] Văn Bản Điều Hành Chung,148.2025.QĐ-HCNS-Quy tắc ứng xử. 19-03-2025.pdf,148.2025.QĐ-HCNS-Quy tắc ứng xử. 19-03-2025.pdf,148,2025,2025-03-19,,,Hiệu lực,,Quy tắc ứng xử,,,,Chính sách – Định hướng,Quyết định,,Quy tắc ứng xử,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/148.2025.QĐ-HCNS-Quy tắc ứng xử.19-03-2025.pdf,[00] Văn Bản Điều Hành Chung,148.2025.QĐ-HCNS-Quy tắc ứng xử.19-03-2025.pdf,148.2025.QĐ-HCNS-Quy tắc ứng xử.19-03-2025.pdf,148,2025,2025-03-19,,,Hiệu lực,,Quy tắc ứng xử,,,,Chính sách – Định hướng,Quyết định,,Quy tắc ứng xử,HCNS,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2024.ĐL-DMB-Điều lệ Công ty Đông Mai.01-05-2024.doc,[00] Văn Bản Điều Hành Chung,2024.ĐL-DMB-Điều lệ Công ty Đông Mai.01-05-2024.doc,2024.ĐL-DMB-Điều lệ Công ty Đông Mai.01-05-2024.doc,,2024,2024-05-01,,,Hiệu lực,,Điều lệ Công ty Đông Mai,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2024.ĐL-DMB-Điều lệ Công ty Đông Mai.01-05-2024.pdf,[00] Văn Bản Điều Hành Chung,2024.ĐL-DMB-Điều lệ Công ty Đông Mai.01-05-2024.pdf,2024.ĐL-DMB-Điều lệ Công ty Đông Mai.01-05-2024.pdf,,2024,2024-05-01,,,Hiệu lực,,Điều lệ Công ty Đông Mai,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2025.ĐL-HLB-Điều lệ Công ty Cổ phần Bia _NGK Hạ Long.25-04-2025.pdf,[00] Văn Bản Điều Hành Chung,2025.ĐL-HLB-Điều lệ Công ty Cổ phần Bia _NGK Hạ Long.25-04-2025.pdf,2025.ĐL-HLB-Điều lệ Công ty Cổ phần Bia _NGK Hạ Long.25-04-2025.pdf,,2025,2025-04-25,,,Hiệu lực,,Điều lệ Công ty Cổ phần Bia _NGK Hạ Long,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Cổ phần Bia _NGK Hạ Long,HLB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
data/[00] Văn bản điều hành chung/01. Chính sách – Định hướng/2026.ĐL-DMB-Điều lệ Công ty Đông Mai.25-04-2026.docx,[00] Văn Bản Điều Hành Chung,2026.ĐL-DMB-Điều lệ Công ty Đông Mai.25-04-2026.docx,2026.ĐL-DMB-Điều lệ Công ty Đông Mai.25-04-2026.docx,,2026,2026-04-25,,,Hiệu lực,,Điều lệ Công ty Đông Mai,,,,Chính sách – Định hướng,Khác,Điều lệ,Công ty Đông Mai,DMB,[00] Văn bản điều hành chung,ParsedFromFolder,High,,,,,,
