FilePath,FolderTarget,SoVanBan,NamBanHanh,LoaiVanBan,DonViSoanThao,NguoiKy,NgayBanHanh,NgayHetHieuLuc,TrangThai,MucDoBaoMat,TrichYeu,VanBanThayThe,VanBanLienQuan,Tags
data/00. Văn bản Điều hành/[03] Giám Đốc Tài Chính và Quản trị/453.QĐ-HLB-Quyết định Bổ nhiệm Giám đốc Tài chính và Quản trị.25-7-2025.pdf,[03] Giám Đốc Tài Chính và Quản Trị,453,2025,Quyết định,Giám đốc Tài chính và Quản trị,,2025-07-25,,Đang lưu hành,Nội bộ,453.QĐ-HLB-Quyết định Bổ nhiệm Giám đốc Tài chính và Quản trị.25-7-2025,,,
data/00. Văn bản Điều hành/[06.02]Phó giám đốc sản xuất - kỹ thuật/295.2026.QĐ-HCNS-Điều chỉnh chức danh đối với bà Nguyễn Thị Chi.15-5-2026.pdf,[06.02] Phó Giám Đốc Sản Xuất - Kỹ Thuật,295,2026,Quyết định,Phó Giám đốc Sản xuất – Kỹ thuật,,2026-05-15,,Đang lưu hành,Nội bộ,Điều chỉnh chức danh đối với bà Nguyễn Thị Chi,,,
data/00. Văn bản Điều hành/[06.02]Phó giám đốc sản xuất - kỹ thuật/528.2026.QĐ-HCNS-Ban hành quy định về chức năng nhiệm vụ của Phó Giám đốc sản xuất-kỹ thuật.22-05-2026.docx,[06.02] Phó Giám Đốc Sản Xuất - Kỹ Thuật,528,2026,Quyết định,Phó Giám đốc Sản xuất – Kỹ thuật,,2026-05-22,,Đang lưu hành,Nội bộ,Ban hành quy định về chức năng nhiệm vụ của Phó Giám đốc sản xuất-kỹ thuật,,,
data/00. Văn bản Điều hành/[06.02]Phó giám đốc sản xuất - kỹ thuật/528.2026.QĐ-HCNS-Ban hành quy định về chức năng nhiệm vụ của Phó Giám đốc sản xuất-kỹ thuật.22-05-2026.pdf,[06.02] Phó Giám Đốc Sản Xuất - Kỹ Thuật,528,2026,Quyết định,Phó Giám đốc Sản xuất – Kỹ thuật,,2026-05-22,,Đang lưu hành,Nội bộ,Ban hành quy định về chức năng nhiệm vụ của Phó Giám đốc sản xuất-kỹ thuật,,,
data/00. Văn bản Điều hành/[08] Ban Tài chính - Kiểm soát nội bộ/513.QĐ-HCNS-Bổ nhiệm Trợ lý Ban điều hành kiêm phó ban tài chính và kiểm soát nội bộ.21-08-2025.pdf,[08] Ban Tài Chính - Kiểm Soát Nội Bộ,513,2025,Quyết định,Ban Tài chính – Kiểm soát nội bộ,,2025-08-21,,Đang lưu hành,Nội bộ,Bổ nhiệm Trợ lý Ban điều hành kiêm phó ban tài chính và kiểm soát nội bộ,,,
data/00. Văn bản Điều hành/[09] Ban S-H-E/247.QĐ-HCNS-Quyết định Miễn nhiệm vị trí Phó ban SHE.02-07-2025.pdf,[09] Ban S-H-E,247,2025,Quyết định,Ban S-H-E,,2025-07-02,,Đang lưu hành,Nội bộ,Quyết định Miễn nhiệm vị trí Phó ban SHE,,,
data/00. Văn bản Điều hành/[09] Ban S-H-E/527.QĐ-HCNS-Bổ nhiệm vị trí Phó ban An toàn-Sức khỏe-Môi trường.26-08-2025.pdf,[09] Ban S-H-E,527,2025,Quyết định,Ban S-H-E,,2025-08-26,,Đang lưu hành,Nội bộ,Bổ nhiệm vị trí Phó ban An toàn-Sức khỏe-Môi trường,,,
data/00. Văn bản Điều hành/[09] Ban S-H-E/528.QĐ-HCNS-Miễn nhiệm vị trí Trưởng ban An toàn-Sức khỏe-Môi trường.26-08-2025.pdf,[09] Ban S-H-E,528,2025,Quyết định,Ban S-H-E,,2025-08-26,,Đang lưu hành,Nội bộ,Miễn nhiệm vị trí Trưởng ban An toàn-Sức khỏe-Môi trường,,,
"data/00. Văn bản Điều hành/[10] Phòng Kỹ Thuật, Công Nghệ, và Cải Tiến Sản Xuất/122.QĐ-ĐM-Điều chuyển nhân sự.27-02-2026.pdf","[10] Phòng Kỹ Thuật, Công Nghệ và Cải Tiến Sản Xuất",122,2026,Quyết định,"Phòng Kỹ thuật, Công nghệ và Cải tiến Sản xuất",,2026-02-27,,Đang lưu hành,Nội bộ,122.QĐ-ĐM-Điều chuyển nhân sự.27-02-2026,,,
"data/00. Văn bản Điều hành/[10] Phòng Kỹ Thuật, Công Nghệ, và Cải Tiến Sản Xuất/157.2025.QĐ-HCNS-hướng dẫn lộ trình trụ cột lãnh đạo Leadership.21-3-2025.docx","[10] Phòng Kỹ Thuật, Công Nghệ và Cải Tiến Sản Xuất",157,2025,Quyết định,"Phòng Kỹ thuật, Công nghệ và Cải tiến Sản xuất",,2025-03-21,,Đang lưu hành,Nội bộ,hướng dẫn lộ trình trụ cột lãnh đạo Leadership,,,
